"state","score"
"AK",0.46
"AL",0.66
"AR",0.45
"AZ",0.55
"CA",0.50
"CO",0.46
"CT",0.59
"DC",0.65
"DE",0.58
"FL",0.56
"GA",0.74
"HI",0.15
"IA",0.50
"ID",0.32
"IL",0.63
"IN",0.49
"KS",0.40
"KY",0.75
"LA",0.70
"MA",0.52
"MD",0.63
"ME",1.02
"MI",0.37
"MN",0.41
"MO",0.46
"MS",0.72
"MT",0.45
"NC",0.47
"ND",0.28
"NE",0.61
"NH",0.56
"NJ",0.72
"NM",0.50
"NV",0.46
"NY",0.67
"OH",0.45
"OK",0.54
"OR",0.37
"PA",0.48
"RI",0.78
"SC",0.73
"SD",0.33
"TN",0.64
"TX",0.53
"UT",0.68
"VA",0.58
"VT",0.13
"WA",0.49
"WI",0.57
"WV",0.56
"WY",0.24
