"state","score"
"AK",1.34
"AL",0.67
"AR",1.41
"AZ",1.27
"CA",1.01
"CO",1.13
"CT",1.58
"DC",1.52
"DE",0.99
"FL",0.74
"GA",0.98
"HI",1.16
"IA",1.06
"ID",0.53
"IL",1.11
"IN",0.96
"KS",0.92
"KY",0.91
"LA",0.85
"MA",1.61
"MD",2.43
"ME",2.46
"MI",0.96
"MN",1.30
"MO",0.86
"MS",0.92
"MT",1.39
"NC",0.90
"ND",1.01
"NE",1.74
"NH",1.94
"NJ",0.76
"NM",0.88
"NV",0.99
"NY",1.46
"OH",0.86
"OK",0.63
"OR",1.26
"PA",0.80
"RI",1.28
"SC",1.52
"SD",1.01
"TN",1.39
"TX",0.90
"UT",1.49
"VA",0.73
"VT",1.14
"WA",1.10
"WI",1.01
"WV",0.74
"WY",0.37
