"state","score"
"AK",1.19
"AL",0.67
"AR",0.92
"AZ",1.01
"CA",0.80
"CO",0.71
"CT",1.23
"DC",0.12
"DE",0.37
"FL",0.74
"GA",0.71
"HI",0.54
"IA",1.17
"ID",1.33
"IL",0.60
"IN",1.13
"KS",1.16
"KY",0.96
"LA",1.15
"MA",0.82
"MD",1.18
"ME",0.90
"MI",0.97
"MN",0.71
"MO",0.69
"MS",0.69
"MT",0.73
"NC",0.88
"ND",1.37
"NE",1.09
"NH",0.86
"NJ",0.63
"NM",0.79
"NV",1.31
"NY",0.85
"OH",0.88
"OK",0.62
"OR",0.67
"PA",0.79
"RI",1.24
"SC",1.42
"SD",1.04
"TN",1.12
"TX",0.64
"UT",1.77
"VA",0.68
"VT",1.68
"WA",0.77
"WI",0.69
"WV",1.19
"WY",1.08
