"provider_id","hospital_name","address_1","city","state","zip_code","county_name","CAUTI_ratio","CAUTI_lower","CAUTI_observed","CAUTI_predicted","CAUTI_upper","CLABSI_ratio","CLABSI_lower","CLABSI_observed","CLABSI_predicted","CLABSI_upper","SSIcolon_ratio","SSIcolon_lower","SSIcolon_observed","SSIcolon_predicted","SSIcolon_upper"
110010,"EMORY UNIVERSITY HOSPITAL","1364 CLIFTON ROAD, NE","ATLANTA","GA",30322,"DEKALB",2.16,1.465,31,14.371,3.062,0.54,0.348,24,44.202,0.808,1.01,0.122,2,1.981,3.647
110035,"WELLSTAR KENNESTONE HOSPITAL","677 CHURCH STREET","MARIETTA","GA",30060,"COBB",1.35,0.674,11,8.148,2.416,0.46,0.209,9,19.715,0.867,0.58,0.071,2,3.435,2.103
110076,"DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","DECATUR","GA",30033,"DEKALB",0.40,0.010,1,2.489,2.239,1.16,0.579,11,9.489,2.074,0.00,0.000,1,0.696,0.000
110078,"EMORY UNIVERSITY HOSPITAL MIDTOWN","550 PEACHTREE ST NE","ATLANTA","GA",30308,"FULTON",1.74,0.900,12,6.890,3.042,1.15,0.758,27,23.459,1.675,4.15,1.347,5,1.205,9.683
110079,"GRADY MEMORIAL HOSPITAL","80 JESSE HILL, JR DRIVE SE","ATLANTA","GA",30303,"FULTON",0.66,0.315,10,15.225,1.208,2.04,1.598,74,36.366,2.555,0.00,0.000,0,0.702,0.000
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC","5665 PEACHTREE DUNWOODY ROAD","ATLANTA","GA",30342,"FULTON",1.10,0.301,4,3.619,2.830,0.74,0.337,9,12.228,1.397,1.57,0.429,4,2.543,4.027
110083,"PIEDMONT HOSPITAL","1968 PEACHTREE RD NW","ATLANTA","GA",30309,"FULTON",2.32,1.325,16,6.900,3.766,1.02,0.657,25,24.602,1.500,0.26,0.007,1,3.810,1.462
110115,"ATLANTA MEDICAL CENTER","303 PARKWAY DR NE","ATLANTA","GA",30312,"FULTON",0.67,0.181,4,6.010,1.704,0.59,0.315,13,21.975,1.012,0.00,0.000,0,0.832,0.000
110143,"WELLSTAR COBB HOSPITAL","3950 AUSTELL RD","AUSTELL","GA",30106,"COBB",2.09,0.569,4,1.916,5.345,0.49,0.102,3,6.067,1.445,0.00,0.000,1,0.308,0.000
110161,"NORTHSIDE HOSPITAL","1000 JOHNSON FERRY ROAD, NE","ATLANTA","GA",30342,"FULTON",0.82,0.021,1,1.226,4.545,0.68,0.340,11,16.139,1.220,0.44,0.011,1,2.283,2.440
110165,"SOUTHERN REGIONAL MEDICAL CENTER","11 UPPER RIVERDALE ROAD, SW","RIVERDALE","GA",30274,"CLAYTON",0.00,0.000,0,1.163,3.172,1.39,0.716,12,8.655,2.422,0.00,0.000,0,1.110,3.323
110183,"EMORY-ADVENTIST HOSPITAL","3949 SOUTH COBB DRIVE","SMYRNA","GA",30080,"COBB",0.00,0.000,0,0.209,0.000,0.00,0.000,0,0.520,0.000,0.00,0.000,0,0.156,0.000
110198,"NORTH FULTON REGIONAL HOSPITAL","3000 HOSPITAL BOULEVARD","ROSWELL","GA",30076,"FULTON",0.00,0.000,0,2.768,1.333,0.95,0.308,5,5.276,2.212,0.00,0.000,0,0.278,0.000
110203,"WESLEY WOODS GERIATRIC HOSPITAL","1821 CLIFTON ROAD, NE","ATLANTA","GA",30329,"DEKALB",0.00,0.000,0,0.000,0.000,0.00,0.000,0,0.000,0.000,0.00,0.000,0,0.000,0.000
110219,"SOUTH FULTON MEDICAL CENTER","1170 CLEVELAND AVENUE","EAST POINT","GA",30344,"FULTON",0.00,0.000,0,0.816,0.000,1.54,0.664,8,5.200,3.031,0.00,0.000,0,0.158,0.000
110226,"DEKALB MEDICAL CENTER AT HILLANDALE","2801 DEKALB MEDICAL PARKWAY","LITHONIA","GA",30058,"DEKALB",0.00,0.000,0,0.623,0.000,1.84,0.502,4,2.171,4.717,0.00,0.000,0,0.109,0.000
